,Author,Thread Author,Engagement Type,frequency
0,MrMarleyMar,HowleyReporter,RETWEET,6
1,TopInfoBlogs,CodeMonkeyZ,RETWEET,6
2,michaywe253,EmeraldRobinson,RETWEET,5
3,Hermes23,EmeraldRobinson,RETWEET,5
4,jennycohn1,jennycohn1,RETWEET,5
5,HudonJennifer,EmeraldRobinson,RETWEET,4
6,TracyKarch2,EmeraldRobinson,RETWEET,4
7,aranom12,themarketswork,RETWEET,4
8,99linebind,CodeMonkeyZ,RETWEET,4
9,Whersmyshirt,CodeMonkeyZ,RETWEET,4
10,cracosal,EmeraldRobinson,RETWEET,4
11,mathewp661,EmeraldRobinson,RETWEET,4
12,Heckle04801687,CodeMonkeyZ,RETWEET,4
13,ARealPrincesa,EmeraldRobinson,RETWEET,4
14,JimMullinnix,EmeraldRobinson,RETWEET,4
15,CKYoung18878363,CodeMonkeyZ,RETWEET,4
16,gratefulAC19,EmeraldRobinson,RETWEET,4
17,AngelinaAddis12,gatewaypundit,RETWEET,4
18,bbqtracy,CodeMonkeyZ,RETWEET,4
19,Bobkrotec1,EmeraldRobinson,RETWEET,4
20,RationalMind18,gatewaypundit,RETWEET,4
21,ampchabalgo,EmeraldRobinson,RETWEET,4
22,HilaryAnnRobin2,EmeraldRobinson,RETWEET,4
23,j74_tee,EmeraldRobinson,RETWEET,4
24,noelphx,CodeMonkeyZ,RETWEET,4
25,realMattJAllen,EmeraldRobinson,RETWEET,4
26,mattvanbibber,CodeMonkeyZ,RETWEET,4
27,EvolveQuickly,CodeMonkeyZ,RETWEET,4
28,hettinga,EmeraldRobinson,RETWEET,4
29,romanrose,EmeraldRobinson,RETWEET,4
30,reneebrown1966,CodeMonkeyZ,RETWEET,4
31,VTO2020,LLinWood,RETWEET,4
32,PatrickTRooney,EmeraldRobinson,RETWEET,4
33,braceberg1,EmeraldRobinson,RETWEET,4
34,CherylB12988389,jennycohn1,RETWEET,4
35,DDuranUnchained,LLinWood,RETWEET,4
36,kellyha10912497,EmeraldRobinson,RETWEET,3
37,H2211C,EmeraldRobinson,RETWEET,3
38,Kahuna_XL,EmeraldRobinson,RETWEET,3
39,KalV194,EmeraldRobinson,RETWEET,3
40,TexasBelle12,EmeraldRobinson,RETWEET,3
41,shakeflintstone,CodeMonkeyZ,RETWEET,3
42,dbarbarah3,EmeraldRobinson,RETWEET,3
43,nocbc,LLinWood,RETWEET,3
44,RerunOddguns,HowleyReporter,RETWEET,3
45,KW07038391,EmeraldRobinson,RETWEET,3
46,mallela4848,Ramnier,RETWEET,3
47,djsroofing64,EmeraldRobinson,RETWEET,3
48,LuvMyCountry7,EmeraldRobinson,RETWEET,3
49,Bobby26991509,EmeraldRobinson,RETWEET,3
50,RhumbaBetty,EmeraldRobinson,RETWEET,3
51,TheRealTishaB,LLinWood,RETWEET,3
52,Bookem27835446,kylenabecker,RETWEET,3
53,LoveisCthulhu,jennycohn1,RETWEET,3
54,MyRubyLu2,EmeraldRobinson,RETWEET,3
55,LuisBon67258735,EmeraldRobinson,RETWEET,3
56,denise_snively,rising_serpent,RETWEET,3
57,bratgrace1060,EmeraldRobinson,RETWEET,3
58,MtRushmore2016,EmeraldRobinson,RETWEET,3
59,BigRedMachine42,EmeraldRobinson,RETWEET,3
60,GracefulAmerica,gatewaypundit,RETWEET,3
61,iluvbkk,EmeraldRobinson,RETWEET,3
62,KMSvoboda_,LLinWood,RETWEET,3
63,KOBYCI,gatewaypundit,RETWEET,3
64,TedRFlores,CodeMonkeyZ,RETWEET,3
65,__Sassafras_,gatewaypundit,RETWEET,3
66,LowB43,gatewaypundit,RETWEET,3
67,madegebidegong1,KanekoaTheGreat,RETWEET,3
68,m0nsterlab,CodeMonkeyZ,RETWEET,3
69,RazorBass33,gatewaypundit,RETWEET,3
70,2013_carole,LLinWood,RETWEET,3
71,ReggieMeezer,EmeraldRobinson,RETWEET,3
72,Glorylean1,marklevinshow,RETWEET,3
73,a_recob,EmeraldRobinson,RETWEET,3
74,Getaclue77,CodeMonkeyZ,RETWEET,3
75,Proud_Rep,CodeMonkeyZ,RETWEET,3
76,Quest1743,LLinWood,RETWEET,3
77,WV_Kelley,EmeraldRobinson,RETWEET,3
78,molineux_beau,EmeraldRobinson,RETWEET,3
79,jteter5355,CodeMonkeyZ,RETWEET,3
80,chbstone2,CodeMonkeyZ,RETWEET,3
81,KroekerTony,EmeraldRobinson,RETWEET,3
82,ADRKrottweilers,EmeraldRobinson,RETWEET,3
83,mknoll0505,CodeMonkeyZ,RETWEET,3
84,PatriotMarie,EmeraldRobinson,RETWEET,3
85,Erin03truth,CodeMonkeyZ,RETWEET,3
86,WarnockWarrior,jennycohn1,RETWEET,3
87,Lawrenc96256742,EmeraldRobinson,RETWEET,3
88,LClynick,LLinWood,RETWEET,3
89,FortAwesome451,CodeMonkeyZ,RETWEET,3
90,naninani6,CodeMonkeyZ,RETWEET,3
91,mekismet,CodeMonkeyZ,RETWEET,3
92,jkdeppe,LLinWood,RETWEET,3
93,1catherinesiena,CodeMonkeyZ,RETWEET,3
94,melklb5,CodeMonkeyZ,RETWEET,3
95,Evlu6,CodeMonkeyZ,RETWEET,3
96,mikeweeaks,EmeraldRobinson,RETWEET,3
97,LauckScott,realDonaldTrump,RETWEET,3
98,EvolveQuickly,themarketswork,RETWEET,3
99,ChaplinskiSusan,CodeMonkeyZ,RETWEET,3
100,1artniece2,EmeraldRobinson,RETWEET,3
101,VickieMcCormic1,EmeraldRobinson,RETWEET,3
102,mollymist2008,CodeMonkeyZ,RETWEET,3
103,charsy102,LLinWood,RETWEET,3
104,Fridasu,JamesNavaCom,RETWEET,3
105,craigdadoflila,CodeMonkeyZ,RETWEET,3
106,dankness_prince,CodeMonkeyZ,RETWEET,3
107,X0tammyX0,Megavolts001,RETWEET,3
108,jamiearrington,EmeraldRobinson,RETWEET,3
109,butch_hoffman,EmeraldRobinson,RETWEET,3
110,KellyGDonovan,gatewaypundit,RETWEET,3
111,Mom3CCC,LLinWood,RETWEET,3
112,KellyMcCorkle9,CodeMonkeyZ,RETWEET,3
113,33isthee,Frankz2137,RETWEET,3
114,KenRoberts112,EmeraldRobinson,RETWEET,3
115,NeedMoreLuv,EmeraldRobinson,RETWEET,3
116,Lisacpc1,LouDobbs,RETWEET,3
117,Bullistik,EmeraldRobinson,RETWEET,3
118,Politisourced,EmeraldRobinson,RETWEET,3
119,AEG36359817,EmeraldRobinson,RETWEET,3
120,cyndiCDG,EmeraldRobinson,RETWEET,3
121,487d341f306c4b3,EmeraldRobinson,RETWEET,3
122,mrtnfan,EmeraldRobinson,RETWEET,3
123,William55340950,CodeMonkeyZ,RETWEET,3
124,Phred_Gee,AmyMek,RETWEET,3
125,rocshuman,EmeraldRobinson,RETWEET,3
126,Nini_to_E_and_T,CodeMonkeyZ,RETWEET,3
127,mountaindroppin,CodeMonkeyZ,RETWEET,3
128,morgancap,gatewaypundit,RETWEET,3
129,2020FLnative,LLinWood,RETWEET,3
130,lauraleeirish,CodeMonkeyZ,RETWEET,3
131,MichelleSlesh20,LLinWood,RETWEET,3
132,fleekirony,DavidJHarrisJr,RETWEET,3
133,Dmitri_Gusev,EmeraldRobinson,RETWEET,3
134,MamaYiddishe,EmeraldRobinson,RETWEET,3
135,raynja_Saipan,CodeMonkeyZ,RETWEET,3
136,MAGAMomSWFL,EmeraldRobinson,RETWEET,3
137,BLONDEDIVAS101,CodeMonkeyZ,RETWEET,3
138,drhrose,LLinWood,RETWEET,3
139,kwillde01,EmeraldRobinson,RETWEET,3
140,drwetzel,EmeraldRobinson,RETWEET,3
141,SENIE31,EmeraldRobinson,RETWEET,3
142,rick_maddox,EmeraldRobinson,RETWEET,3
143,StrahlErika,gatewaypundit,RETWEET,3
144,refren1971,Ramnier,RETWEET,3
145,MAGA_DJT2016,LLinWood,RETWEET,3
146,greganon54,LLinWood,RETWEET,3
147,SchultzSusie,CodeMonkeyZ,RETWEET,3
148,barbaraghickey,CodeMonkeyZ,RETWEET,3
149,lori_clydesdale,EmeraldRobinson,RETWEET,3
150,Smetrius01,EmeraldRobinson,RETWEET,3
151,HilldaleLions,EmeraldRobinson,RETWEET,3
152,MBOKSR_MAGA,Robertl01464344,RETWEET,3
153,RosLip,EmeraldRobinson,RETWEET,3
154,DelamamaResists,jennycohn1,RETWEET,3
155,gschumacher09,CodeMonkeyZ,RETWEET,3
156,DaveMD123,EmeraldRobinson,RETWEET,3
157,gurl_hershey,CodeMonkeyZ,RETWEET,3
158,Jezca3,LLinWood,RETWEET,3
159,DavidG02986909,CodeMonkeyZ,RETWEET,3
160,Jan10998072,CodeMonkeyZ,RETWEET,3
161,provrevgm_gary,EmeraldRobinson,RETWEET,3
162,loladog1206,EmeraldRobinson,RETWEET,3
163,JohnTho14581919,EmeraldRobinson,RETWEET,3
164,low266,CodeMonkeyZ,RETWEET,3
165,bansheejumper,EmeraldRobinson,RETWEET,3
166,SusanWi31620743,CodeMonkeyZ,RETWEET,3
167,RichardStiller4,EmeraldRobinson,RETWEET,3
168,AnnFarnsworth,EmeraldRobinson,RETWEET,3
169,gollysue4truth,CarrollQuigley1,RETWEET,3
170,sasscer12,LLinWood,RETWEET,3
171,DebraAn46408618,EmeraldRobinson,RETWEET,3
172,elliesabuelita,CodeMonkeyZ,RETWEET,3
173,Rinnieroo4,LLinWood,RETWEET,3
174,Setec_Astron0my,CodeMonkeyZ,RETWEET,3
175,aliciaschoolcr1,EmeraldRobinson,RETWEET,3
176,Serendipiterry,EmeraldRobinson,RETWEET,3
177,RitaBorgman3,EmeraldRobinson,RETWEET,3
178,hesstruc12,EmeraldRobinson,RETWEET,3
179,IowaGirlPatriot,CodeMonkeyZ,RETWEET,3
180,ljdeleu,CodeMonkeyZ,RETWEET,3
181,helloits_Adele,gatewaypundit,RETWEET,3
182,Balou8900,EmeraldRobinson,RETWEET,3
183,JohnnyMac76,CodeMonkeyZ,RETWEET,3
184,DeplorableTere1,EmeraldRobinson,RETWEET,3
185,DebH63951470,CodeMonkeyZ,RETWEET,3
186,IamMidwife,gatewaypundit,RETWEET,3
187,JM_20200604,EmeraldRobinson,RETWEET,3
188,judy727z,CodeMonkeyZ,RETWEET,2
189,Emperipolisis,LLinWood,RETWEET,2
190,DeplorableAlex,elisa1121,RETWEET,2
191,kyrose87,charliekirk11,RETWEET,2
192,jtski1968,EmeraldRobinson,RETWEET,2
193,julann0503,CodeMonkeyZ,RETWEET,2
194,DianHedrich,EmeraldRobinson,RETWEET,2
195,jtwheat27,realDonaldTrump,RETWEET,2
196,DerekDeplorable,EmeraldRobinson,RETWEET,2
197,krakistophales,LLinWood,RETWEET,2
198,DeniseTXProud,EmeraldRobinson,RETWEET,2
199,krezae,EmeraldRobinson,RETWEET,2
200,Dennis13638586,EmeraldRobinson,RETWEET,2
201,Emmanue37542510,realDonaldTrump,RETWEET,2
202,Devildog4070,jennycohn1,RETWEET,2
203,krista4Trump,CodeMonkeyZ,RETWEET,2
204,Dennis13638586,tom_trotts,RETWEET,2
205,DonaldShimoda4,CodeMonkeyZ,RETWEET,2
206,EndOfIllusion,LLinWood,RETWEET,2
207,Debsie53,charliekirk11,RETWEET,2
208,joshuaprichards,CodeMonkeyZ,RETWEET,2
209,EveliaPerger,MaihenH,RETWEET,2
210,lambsonjeff,CodeMonkeyZ,RETWEET,2
211,EveliaPerger,Ramnier,RETWEET,2
212,DecodaDesigns,gatewaypundit,RETWEET,2
213,Debunny34,CodeMonkeyZ,RETWEET,2
214,DebraCo22114939,EmeraldRobinson,RETWEET,2
215,Denise75384378,gatewaypundit,RETWEET,2
216,EyesWideOpen_00,EmeraldRobinson,RETWEET,2
217,jordan18_love,gatewaypundit,RETWEET,2
218,FJD8X8X,realDonaldTrump,RETWEET,2
219,FLmom4Trump,EmeraldRobinson,RETWEET,2
220,FLpatriotNDN,OANN,RETWEET,2
221,Debra83Becker,LLinWood,RETWEET,2
222,joshuaprichards,deanknudson,RETWEET,2
223,Deerhunter77777,realDonaldTrump,RETWEET,2
224,DefinePopcorn,realDonaldTrump,RETWEET,2
225,Evalyn27,jennycohn1,RETWEET,2
