,Source,Target,Weight,Type
0,CodeMonkeyZ,TopInfoBlogs,6,Directed
1,HowleyReporter,MrMarleyMar,6,Directed
2,jennycohn1,jennycohn1,5,Directed
3,EmeraldRobinson,Hermes23,5,Directed
4,EmeraldRobinson,stevebuszka,5,Directed
5,EmeraldRobinson,michaywe253,5,Directed
6,CodeMonkeyZ,bbqtracy,4,Directed
7,EmeraldRobinson,xepllc,4,Directed
8,CodeMonkeyZ,99linebind,4,Directed
9,jennycohn1,CherylB12988389,4,Directed
10,CodeMonkeyZ,mattvanbibber,4,Directed
11,EmeraldRobinson,hettinga,4,Directed
12,LLinWood,VTO2020,4,Directed
13,EmeraldRobinson,PatrickTRooney,4,Directed
14,EmeraldRobinson,HilaryAnnRobin2,4,Directed
15,LLinWood,DDuranUnchained,4,Directed
16,EmeraldRobinson,TracyKarch2,4,Directed
17,EmeraldRobinson,romanrose,4,Directed
18,EmeraldRobinson,ARealPrincesa,4,Directed
19,EmeraldRobinson,mathewp661,4,Directed
20,EmeraldRobinson,gratefulAC19,4,Directed
21,CodeMonkeyZ,Whersmyshirt,4,Directed
22,EmeraldRobinson,ampchabalgo,4,Directed
23,themarketswork,aranom12,4,Directed
24,EmeraldRobinson,braceberg1,4,Directed
25,EmeraldRobinson,HudonJennifer,4,Directed
26,CodeMonkeyZ,Heckle04801687,4,Directed
27,CodeMonkeyZ,tdg9999,4,Directed
28,EmeraldRobinson,realMattJAllen,4,Directed
29,CodeMonkeyZ,EvolveQuickly,4,Directed
30,gatewaypundit,twsaababq,4,Directed
31,EmeraldRobinson,Bobkrotec1,4,Directed
32,EmeraldRobinson,j74_tee,4,Directed
33,CodeMonkeyZ,noelphx,4,Directed
34,gatewaypundit,AngelinaAddis12,4,Directed
35,trumpswithyou,trumpswithyou,4,Directed
36,gatewaypundit,RationalMind18,4,Directed
37,EmeraldRobinson,cracosal,4,Directed
38,EmeraldRobinson,theZinger34,4,Directed
39,CodeMonkeyZ,CKYoung18878363,4,Directed
40,EmeraldRobinson,JimMullinnix,4,Directed
41,CodeMonkeyZ,reneebrown1966,4,Directed
42,JamesNavaCom,Fridasu,3,Directed
43,EmeraldRobinson,KroekerTony,3,Directed
44,EmeraldRobinson,DaveMD123,3,Directed
45,EmeraldRobinson,RitaBorgman3,3,Directed
46,jennycohn1,WarnockWarrior,3,Directed
47,EmeraldRobinson,LuisBon67258735,3,Directed
48,EmeraldRobinson,MamaYiddishe,3,Directed
49,EmeraldRobinson,AEG36359817,3,Directed
50,EmeraldRobinson,butch_hoffman,3,Directed
51,gatewaypundit,helloits_Adele,3,Directed
52,CarrollQuigley1,gollysue4truth,3,Directed
53,LLinWood,KMSvoboda_,3,Directed
54,EmeraldRobinson,Bullistik,3,Directed
55,gatewaypundit,StrahlErika,3,Directed
56,CodeMonkeyZ,ljdeleu,3,Directed
57,LLinWood,tssunlvr,3,Directed
58,CodeMonkeyZ,low266,3,Directed
59,CodeMonkeyZ,mountaindroppin,3,Directed
60,CodeMonkeyZ,TedRFlores,3,Directed
61,LLinWood,charsy102,3,Directed
62,rising_serpent,denise_snively,3,Directed
63,EmeraldRobinson,provrevgm_gary,3,Directed
64,realDonaldTrump,LauckScott,3,Directed
65,EmeraldRobinson,Bobby26991509,3,Directed
66,gatewaypundit,snickeringcrow,3,Directed
67,CodeMonkeyZ,mknoll0505,3,Directed
68,gatewaypundit,morgancap,3,Directed
69,CodeMonkeyZ,naninani6,3,Directed
70,EmeraldRobinson,bratgrace1060,3,Directed
71,CodeMonkeyZ,Proud_Rep,3,Directed
72,EmeraldRobinson,drwetzel,3,Directed
73,EmeraldRobinson,ADRKrottweilers,3,Directed
74,EmeraldRobinson,Smetrius01,3,Directed
75,CodeMonkeyZ,Jan10998072,3,Directed
76,EmeraldRobinson,Dmitri_Gusev,3,Directed
77,EmeraldRobinson,djsroofing64,3,Directed
78,CodeMonkeyZ,SusanWi31620743,3,Directed
79,EmeraldRobinson,DeplorableTere1,3,Directed
80,CodeMonkeyZ,BLONDEDIVAS101,3,Directed
81,EmeraldRobinson,SENIE31,3,Directed
82,LLinWood,Rinnieroo4,3,Directed
83,EmeraldRobinson,RosLip,3,Directed
84,EmeraldRobinson,KW07038391,3,Directed
85,EmeraldRobinson,VickieMcCormic1,3,Directed
86,LLinWood,Quest1743,3,Directed
87,KanekoaTheGreat,soratobiman,3,Directed
88,KanekoaTheGreat,madegebidegong1,3,Directed
89,gatewaypundit,GracefulAmerica,3,Directed
90,Frankz2137,33isthee,3,Directed
91,EmeraldRobinson,jamiearrington,3,Directed
92,CodeMonkeyZ,mekismet,3,Directed
93,gatewaypundit,LowB43,3,Directed
94,CodeMonkeyZ,elliesabuelita,3,Directed
95,marklevinshow,Glorylean1,3,Directed
96,EmeraldRobinson,Serendipiterry,3,Directed
97,LLinWood,MichelleSlesh20,3,Directed
98,EmeraldRobinson,BigRedMachine42,3,Directed
99,gatewaypundit,RazorBass33,3,Directed
100,CodeMonkeyZ,1catherinesiena,3,Directed
101,CodeMonkeyZ,dankness_prince,3,Directed
102,CodeMonkeyZ,shakeflintstone,3,Directed
103,jennycohn1,LoveisCthulhu,3,Directed
104,LLinWood,jkdeppe,3,Directed
105,SexCounseling,spn_fan_cappy,3,Directed
106,Ramnier,mallela4848,3,Directed
107,EmeraldRobinson,Balou8900,3,Directed
108,Ramnier,refren1971,3,Directed
109,CodeMonkeyZ,Setec_Astron0my,3,Directed
110,CodeMonkeyZ,melklb5,3,Directed
111,LLinWood,TheRealTishaB,3,Directed
112,EmeraldRobinson,PatriotMarie,3,Directed
113,LLinWood,Jezca3,3,Directed
114,EmeraldRobinson,lori_clydesdale,3,Directed
115,EmeraldRobinson,iluvbkk,3,Directed
116,gatewaypundit,IamMidwife,3,Directed
