,index,to_address,from_address,value,gas,block_timestamp,time_b/w_trans,type_of_trans,malicious
0,27,0x3035b2e90d83c1c07c1f8a21e4cb27e8e8a0a00e,0x11d8aa47c5a9636a028bdb513ac87bbb1544b6e3,1.3,21000,2022-02-08T12:56:27.000Z,0,0,0
1,26,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x3035b2e90d83c1c07c1f8a21e4cb27e8e8a0a00e,1,248098,2022-02-08T13:06:09.000Z,582,1,0
2,25,0x3035b2e90d83c1c07c1f8a21e4cb27e8e8a0a00e,0x11d8aa47c5a9636a028bdb513ac87bbb1544b6e3,0.6,21000,2022-02-08T13:47:02.000Z,2453,0,0
3,24,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x3035b2e90d83c1c07c1f8a21e4cb27e8e8a0a00e,0.6,229602,2022-02-08T14:14:31.000Z,1649,1,0
4,23,0x3035b2e90d83c1c07c1f8a21e4cb27e8e8a0a00e,0x11d8aa47c5a9636a028bdb513ac87bbb1544b6e3,0.13,21000,2022-02-09T00:43:14.000Z,37723,0,0
5,22,0x3035b2e90d83c1c07c1f8a21e4cb27e8e8a0a00e,0xfc8d180e9ce34ba7ce6a84e0709db456d0df1c5c,0.16,21000,2022-02-09T00:44:11.000Z,57,0,0
6,21,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x3035b2e90d83c1c07c1f8a21e4cb27e8e8a0a00e,0.5,239706,2022-02-09T00:45:53.000Z,102,1,0
7,20,0x5e85796613a56960bbbfa95a2327a08d06d80d7d,0x3035b2e90d83c1c07c1f8a21e4cb27e8e8a0a00e,0,55977,2022-02-09T00:49:57.000Z,244,1,0
8,19,0x3035b2e90d83c1c07c1f8a21e4cb27e8e8a0a00e,0x11d8aa47c5a9636a028bdb513ac87bbb1544b6e3,0.1,21000,2022-02-09T14:25:13.000Z,48916,0,0
9,18,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x3035b2e90d83c1c07c1f8a21e4cb27e8e8a0a00e,0,254404,2022-02-14T18:19:56.000Z,446083,1,0
10,17,0xe5a37e7d5d6ccb2d5f3250b1fd8f0635d599459a,0x3035b2e90d83c1c07c1f8a21e4cb27e8e8a0a00e,1,377020,2022-02-14T18:34:41.000Z,885,1,0
11,16,0x9674fc7a23b71382f88918ae346bd856be2013df,0x3035b2e90d83c1c07c1f8a21e4cb27e8e8a0a00e,0.07,21000,2022-02-15T01:43:06.000Z,25705,1,0
12,15,0x7b4bfa32f5469c9b0ea12b70b102aa8ead274cbc,0x3035b2e90d83c1c07c1f8a21e4cb27e8e8a0a00e,0.3,21000,2022-02-15T17:29:45.000Z,56799,1,0
13,14,0xe5a37e7d5d6ccb2d5f3250b1fd8f0635d599459a,0x3035b2e90d83c1c07c1f8a21e4cb27e8e8a0a00e,0,302025,2022-02-15T21:36:39.000Z,14814,1,0
14,13,0x3035b2e90d83c1c07c1f8a21e4cb27e8e8a0a00e,0x11d8aa47c5a9636a028bdb513ac87bbb1544b6e3,0.87,21000,2022-02-16T08:53:16.000Z,40597,0,0
15,12,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x3035b2e90d83c1c07c1f8a21e4cb27e8e8a0a00e,0.956999003,286968,2022-02-16T08:55:09.000Z,113,1,0
