,index,to_address,from_address,value,gas,block_timestamp,time_b/w_trans,type_of_trans,malicious
0,353,0x52de8d3febd3a06d3c627f59d56e6892b80dcf12,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0.010712,300000,2021-12-30T22:07:58.000Z,0,1,0
1,352,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0.1,67557,2021-12-31T07:01:55.000Z,32037,1,0
2,351,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,1.00E-06,330239,2021-12-31T07:15:50.000Z,835,1,0
3,350,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0,69909,2021-12-31T08:18:51.000Z,3781,1,0
4,349,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0,77373,2021-12-31T08:36:30.000Z,1059,1,0
5,348,0xf6977d8017631a3347cceab3066403ba5d645a62,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0.025,21000,2021-12-31T08:36:36.000Z,6,1,0
6,347,0x52de8d3febd3a06d3c627f59d56e6892b80dcf12,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0.006514,300000,2022-01-03T11:24:23.000Z,269267,1,0
7,346,0x52de8d3febd3a06d3c627f59d56e6892b80dcf12,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0.006514,300000,2022-01-03T11:26:03.000Z,100,1,0
8,345,0xa5409ec958c83c3f309868babaca7c86dcb077c1,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0,516883,2022-01-03T14:03:17.000Z,9434,1,0
9,344,0x35ede6d25fafc93938d9c0530f1f5c0edc9d3845,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0,124632,2022-01-03T14:06:21.000Z,184,1,0
10,343,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0,46606,2022-01-03T14:36:11.000Z,1790,1,0
11,342,0x35ede6d25fafc93938d9c0530f1f5c0edc9d3845,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0,46747,2022-01-20T16:34:37.000Z,1475906,1,0
12,341,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0,276444,2022-01-21T07:24:46.000Z,53409,1,0
13,340,0xfdb57f73ab472471b1a5791588461059f51f6ccf,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0.005226,21000,2022-01-21T10:05:43.000Z,9657,1,0
14,339,,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0,1267067,2022-01-22T09:31:12.000Z,84329,1,0
15,338,0x196a374b9efdcdef12a38489aa8a50237a3ef594,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0.0081,21000,2022-01-22T13:11:53.000Z,13241,1,0
16,337,0x29b9373e428711c8fdd936a389bf05ce7d35dda2,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0.00177759,21000,2022-01-22T15:04:49.000Z,6776,1,0
17,336,0x347e8f059af5839c7d7b652492da2ce1077575a9,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0.011875,21000,2022-01-22T17:00:29.000Z,6940,1,0
18,335,0x5d7dca3bcb1029e8a151066583f31115bd6003ad,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0.024892,21000,2022-01-22T20:12:43.000Z,11534,1,0
19,334,0x1c5d1d8c2b9dd7fed558b8ba686c1535e990049a,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0.032724,21000,2022-01-23T18:48:25.000Z,81342,1,0
20,333,0x4db8def9725152bf56e8b9d78077367daaa10663,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0.0190391,21000,2022-01-25T21:36:37.000Z,182892,1,0
21,332,0xf143d76c38412568e1b0792741f80242f11cc13b,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0.015,21000,2022-01-27T15:36:32.000Z,151195,1,0
22,331,0xed5d4a2d8c41a5b7f709da413f8b8bc83f9dfdd3,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0.0108087,21000,2022-01-27T15:59:50.000Z,1398,1,0
23,330,0x4316a97378a02f2269c1eee2d22c2b837fc203d8,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0.0121,21000,2022-01-27T16:01:59.000Z,129,1,0
24,329,0x7da60a6c2792104045c20b95dd793588983fd8fb,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0.0056392,21000,2022-01-29T19:41:59.000Z,186000,1,0
25,328,0x520c52bbd6ec7cb5c450a4469e59d4936208b78a,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0.00347456,21000,2022-01-29T20:27:18.000Z,2719,1,0
26,327,0xa648633594c3536953a525c28c3cbdaea47add94,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0.01355108,21000,2022-01-30T03:24:42.000Z,25044,1,0
