,index,to_address,from_address,value,gas,block_timestamp,time_b/w_trans,type_of_trans,malicious
0,655,0x711c0139aba68542a768f24964a801a93500d24d,0x0a3f21a6b1b93f15f0d9dbf0685e3dfdc4889eb0,0.5,21000,2022-08-04T22:09:17.000Z,0,0,0
1,654,0xdac17f958d2ee523a2206206994597c13d831ec7,0x711c0139aba68542a768f24964a801a93500d24d,0,73345,2022-08-04T22:11:26.000Z,129,1,0
2,653,0x3980c9ed79d2c191a89e02fa3529c60ed6e9c04b,0x711c0139aba68542a768f24964a801a93500d24d,0,400000,2022-08-04T22:12:04.000Z,38,1,0
3,652,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x711c0139aba68542a768f24964a801a93500d24d,0,91140,2022-08-06T04:29:30.000Z,109046,1,0
4,651,0x3980c9ed79d2c191a89e02fa3529c60ed6e9c04b,0x711c0139aba68542a768f24964a801a93500d24d,0,400000,2022-08-06T04:29:42.000Z,12,1,0
5,650,0x3980c9ed79d2c191a89e02fa3529c60ed6e9c04b,0x711c0139aba68542a768f24964a801a93500d24d,0,400000,2022-08-06T04:31:08.000Z,86,1,0
6,649,0x3980c9ed79d2c191a89e02fa3529c60ed6e9c04b,0x711c0139aba68542a768f24964a801a93500d24d,0,400000,2022-08-06T05:12:55.000Z,2507,1,0
7,648,0xc221b7e65ffc80de234bbb6667abdd46593d34f0,0x711c0139aba68542a768f24964a801a93500d24d,0,52261,2022-08-06T14:40:07.000Z,34032,1,0
8,647,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x711c0139aba68542a768f24964a801a93500d24d,0,60760,2022-08-10T20:54:58.000Z,368091,1,0
9,646,0xdac17f958d2ee523a2206206994597c13d831ec7,0x711c0139aba68542a768f24964a801a93500d24d,0,48897,2022-08-10T20:55:16.000Z,18,1,0
10,645,0xb37d31b2a74029b5951a2778f959282e2d518595,0x711c0139aba68542a768f24964a801a93500d24d,0,99376,2022-08-10T20:56:20.000Z,64,1,0
11,644,0xb37d31b2a74029b5951a2778f959282e2d518595,0x711c0139aba68542a768f24964a801a93500d24d,0,92785,2022-08-10T20:57:34.000Z,74,1,0
12,643,0x3980c9ed79d2c191a89e02fa3529c60ed6e9c04b,0x711c0139aba68542a768f24964a801a93500d24d,0,400000,2022-08-10T20:58:39.000Z,65,1,0
13,642,0xdd6530962b50e3a58207c4b2715447ce2da40f89,0x711c0139aba68542a768f24964a801a93500d24d,0.01,21000,2022-08-11T08:03:33.000Z,39894,1,0
14,641,0x3980c9ed79d2c191a89e02fa3529c60ed6e9c04b,0x711c0139aba68542a768f24964a801a93500d24d,0,400000,2022-08-12T18:23:40.000Z,123607,1,0
15,640,0x3980c9ed79d2c191a89e02fa3529c60ed6e9c04b,0x711c0139aba68542a768f24964a801a93500d24d,0,400000,2022-08-18T14:26:44.000Z,504184,1,0
