,index,to_address,from_address,value,gas,block_timestamp,time_b/w_trans,type_of_trans,malicious
0,76,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x82b0ecce847e5c63e877ae3232229de5c0eea8db,0.00860777,21000,2021-01-08T20:42:33.000Z,0,0,0
1,75,0xa090e606e30bd747d4e6245a1517ebe430f0057e,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0.00703277,21000,2021-01-08T21:20:31.000Z,2278,1,0
2,74,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x8b677d3376252bad51be0ee0498214a93703e379,0.2,21000,2021-01-08T22:00:18.000Z,2387,0,0
3,73,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0,250000,2021-01-08T22:00:49.000Z,31,1,0
4,72,0xae107857033b933025ae627a7197a51d3c4503b9,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0.193134995,21000,2021-01-09T02:37:42.000Z,16613,1,0
5,71,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0xa5736c4aa6bdad07a9812aa6978f3c97158311bf,0.016601583,21000,2021-01-09T05:34:06.000Z,10584,0,0
6,70,0xa090e606e30bd747d4e6245a1517ebe430f0057e,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0.015677583,21000,2021-01-24T14:12:30.000Z,1327104,1,0
7,69,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0xc0386ae77f92b95ca392e678c4216eb7726b8f39,0.003719436,21000,2021-04-28T01:24:24.000Z,8075514,0,0
8,68,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x4203469903f06986f4404d256993d94ae0bcb402,0.03694536,21000,2021-04-28T01:37:06.000Z,762,0,0
9,67,0xd44e5dbd8f25e7faeb8d2666823b56f7da314a36,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0.0335,21000,2021-04-28T01:37:39.000Z,33,1,0
10,66,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0xd60cbc49d25b069cfd1b8bd13d90a8f5fd3a1464,0.00154995,21000,2021-04-28T01:43:48.000Z,369,0,0
11,65,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x040b6903d12bf83c59d40287b04a73bfe5368b35,0.00737862,21000,2021-04-28T01:44:37.000Z,49,0,0
12,64,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x3be0736be3f3d32d56db767c09755681d2b36d38,0.00111758,21000,2021-04-28T01:49:08.000Z,271,0,0
13,63,0xa090e606e30bd747d4e6245a1517ebe430f0057e,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0.015026946,21000,2021-04-28T02:09:28.000Z,1220,1,0
14,62,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x4d1b0bb10eaa56948193ee3b8af123f5963bbeab,0.002554,21000,2021-04-30T03:01:16.000Z,175908,0,0
15,61,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,0.00722267,21000,2021-04-30T20:11:51.000Z,61835,0,0
16,60,0xa090e606e30bd747d4e6245a1517ebe430f0057e,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0.00885267,21000,2021-04-30T20:51:31.000Z,2380,1,0
17,59,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0xc2ee3a4b2d728c4877f7add7daa2f90f8789a127,0.004372181,21000,2021-04-30T23:23:03.000Z,9092,0,0
18,58,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x4d1b0bb10eaa56948193ee3b8af123f5963bbeab,0.00976,21000,2021-05-23T20:25:01.000Z,1976518,0,0
19,57,0xa090e606e30bd747d4e6245a1517ebe430f0057e,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0.011759181,21000,2021-05-23T20:27:20.000Z,139,1,0
20,56,0xa090e606e30bd747d4e6245a1517ebe430f0057e,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0.03553688,21000,2021-05-28T23:09:06.000Z,441706,1,0
21,55,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x16bc15e586d8cf24c3fb6fb71b4096313f40a783,0.042069,21000,2021-05-30T01:41:56.000Z,95570,0,0
22,54,0xa090e606e30bd747d4e6245a1517ebe430f0057e,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0.041376,21000,2021-05-30T02:30:14.000Z,2898,1,0
23,53,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x60c0f7b4db8e521c1c0557cd9653bd2b8f5a5acd,0.1,21000,2021-08-26T20:37:22.000Z,7668428,0,0
24,52,0xa090e606e30bd747d4e6245a1517ebe430f0057e,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0.095926,21000,2021-08-26T20:46:42.000Z,560,1,0
25,51,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,0.03088693,21000,2021-08-29T00:36:20.000Z,186578,0,0
26,50,0xa090e606e30bd747d4e6245a1517ebe430f0057e,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0.030590225,21000,2021-08-29T00:47:02.000Z,642,1,0
27,49,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x3cd751e6b0078be393132286c442345e5dc49699,0.02197199,21000,2021-11-15T16:19:03.000Z,6795121,0,0
28,48,0xa090e606e30bd747d4e6245a1517ebe430f0057e,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0.015841966,21000,2021-11-15T16:27:10.000Z,487,1,0
29,47,0xa090e606e30bd747d4e6245a1517ebe430f0057e,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0.002104017,21000,2022-02-15T12:07:35.000Z,7933225,1,0
30,46,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0xa4bbbafc2e6c6add9db8d1c786a2672f74988cbd,0.009389936,21000,2022-03-11T20:12:52.000Z,2102717,0,0
31,45,0xa090e606e30bd747d4e6245a1517ebe430f0057e,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0.008113434,21000,2022-03-11T20:17:05.000Z,253,1,0
32,44,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:34:17.000Z,1032,0,0
33,43,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:34:47.000Z,30,0,0
34,42,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:35:00.000Z,13,0,0
35,41,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:35:14.000Z,14,0,0
36,40,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:35:19.000Z,5,0,0
37,39,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:35:19.000Z,0,0,0
38,38,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:35:44.000Z,25,0,0
39,37,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:35:56.000Z,12,0,0
40,36,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:36:07.000Z,11,0,0
41,35,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:36:07.000Z,0,0,0
42,34,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:36:38.000Z,31,0,0
